TIME,DISP,TEMP
1810,2.07978,12.0342
1815,2.03724,12.1227
1820,2.0168,12.1861
1825,1.91616,12.2528
1830,1.97961,12.329
1835,1.97186,12.3688
1840,1.92793,12.4144
1845,1.88358,12.4942
1850,1.84345,12.5727
1855,1.84405,12.6717
1860,1.81483,12.7478
1865,1.80255,12.7992
1870,1.68295,12.9047
1875,1.70664,12.9655
1880,1.68715,13.041
1885,1.66196,13.1388
1890,1.65809,13.2077
1895,1.63221,13.3176
1900,1.55792,13.5447
1905,1.51911,13.7384
1910,1.44993,14.0173
1915,1.48302,13.9853
1920,1.41402,13.983
1925,1.43888,14.0468
1930,1.44518,14.0187
1935,1.43761,14.0472
1940,1.40823,14.0882
1945,1.24982,14.2661
1950,1.32881,14.4775
1955,1.28104,14.3798
1960,1.32548,14.3396
1965,1.39351,13.9462
1970,1.4174,13.8977
1975,1.41617,13.8552
1980,1.45164,13.851
1985,1.40534,13.9216
1990,1.43674,13.9691
1995,1.3496,14.0575
2000,1.29228,14.1059
2005,1.34486,14.2164
2010,1.43124,14.0726
2015,1.41754,14.0257
2020,1.38137,14.0367
2025,1.3723,14.1173
2030,1.34983,14.2627
2035,1.24901,14.3938
2040,1.27521,14.4046
2045,1.30983,14.5111
2050,1.26104,14.6168
2055,1.12143,14.7801
2060,1.11998,14.9644
2065,1.03795,15.0494
2070,0.964547,15.2128
2075,0.825926,15.3246
2080,0.816102,15.4654
2085,0.782832,15.5347
2090,0.498796,15.6564
2095,0.631142,15.7663
2100,0.494877,15.8392
2105,0.53461,15.9586
2110,0.44814,16.0836
2115,0.478731,16.1375
2120,0.476678,16.1147
2125,0.406242,16.2228
2130,0.259511,16.2901
2135,0.341626,16.3956
2140,0.225227,16.5532
2145,0.263632,16.5634
2150,0.072527,16.7417
2155,0.087041,16.7456
2160,0.064017,16.7339
2165,0.077791,16.7161
2170,-0.039855,16.8194
2175,0.092489,16.8244
2180,-0.062401,16.9362
2185,-0.096151,16.9757
2190,-0.242376,16.979
2195,-0.15333,16.9933
2200,-0.150246,17.0065
2205,-0.276609,17.0165
2210,-0.26039,17.062
2215,-0.40897,17.0797
2220,-0.339251,17.1043
2225,-0.206046,17.1792
2230,-0.251146,17.1108
2235,-0.198647,17.1143
2240,-0.300395,17.2522
2245,-0.148032,17.278
2250,-0.303167,17.3104
2255,-0.127098,17.2466
2260,-0.171198,17.2142
2265,-0.609512,17.1972
2270,-0.201006,17.2963
2275,-0.512504,17.2571
2280,-0.443833,17.3064
2285,-0.201731,17.4656
2290,-0.193262,17.6758
2295,-0.386517,17.7806
2300,-0.252996,17.8956
2305,-0.261471,17.9402
2310,-0.32099,17.7294
2315,-0.108194,17.6276
2320,-0.280006,17.5821
2325,-0.290666,17.6949
2330,-0.168662,17.4955
2335,-0.292899,17.5362
2340,-0.26669,17.5355
2345,-0.263167,17.5906
2350,-0.245267,17.4554
2355,-0.361209,17.4562
2360,-0.231294,17.3778
2365,-0.188747,17.3542
2370,-0.199186,17.314
2375,-0.300949,17.2841
2380,-0.232217,17.33
2385,-0.347881,17.1671
2390,-0.137203,17.1006
2395,-0.198363,17.0535
2400,-0.28377,17.0583
2405,-0.121489,17.0635
2410,-0.173149,17.0827
2415,-0.046488,17.0962
2420,-0.175517,17.0788
2425,-0.064859,17.0365
2430,-0.211852,16.949
2435,-0.047787,16.9783
2440,-0.041298,16.9568
2445,-0.106753,16.8397
2450,-0.013742,16.8026
2455,-0.035693,16.7355
2460,0.097541,16.6528
2465,0.138978,16.6717
2470,0.076698,16.6157
2475,0.028569,16.6843
2480,0.189853,16.6346
2485,0.222208,16.6193
2490,0.20644,16.5637
2495,0.242747,16.4721
2500,0.324289,16.4053
2505,0.302186,16.3261
2510,0.361572,16.2485
2515,0.349065,16.1564
2520,0.495082,16.1445
2525,0.565781,16.0316
2530,0.439558,16.0296
2535,0.656954,15.9267
2540,0.659373,15.8767
2545,0.761972,15.8229
2550,0.805551,15.6795
2555,0.806023,15.6139
2560,0.900053,15.5414
2565,0.951789,15.4355
2570,0.971537,15.4195
2575,1.01075,15.4258
2580,1.04251,15.3278
2585,0.987445,15.2788
2590,1.07866,15.2112
2595,1.08718,15.1571
2600,1.06053,15.0795
2605,1.11588,15.0461
2610,1.18711,14.9598
2615,1.15749,14.8546
2620,1.24159,14.7566
2625,1.28429,14.702
2630,1.28274,14.6654
2635,1.30749,14.5683
2640,1.33198,14.527
2645,1.35102,14.4756
2650,1.37408,14.4087
2655,1.3632,14.3448
2660,1.37191,14.3082
2665,1.42289,14.2602
2670,1.44964,14.1766
2675,1.43427,14.0984
2680,1.46576,14.1237
2685,1.42858,14.042
2690,1.47341,14.0064
2695,1.48161,13.9885
2700,1.52982,13.9597
2705,1.52003,13.9043
2710,1.55348,13.8608
2715,1.54697,13.8186
2720,1.56111,13.7943
2725,1.58172,13.7549
2730,1.5857,13.731
2735,1.60248,13.6888
2740,1.56532,13.6708
2745,1.60257,13.634
2750,1.63719,13.5902
2755,1.62621,13.5654
2760,1.63364,13.5227
2765,1.65662,13.4978
2770,1.66871,13.4558
2775,1.68387,13.4152
2780,1.67238,13.3774
2785,1.70128,13.29
2790,1.6996,13.2593
2795,1.72568,13.2477
2800,1.72848,13.2138
2805,1.71197,13.1791
2810,1.74005,13.1314
2815,1.77699,13.0364
2820,1.77522,12.9227
2825,1.81072,12.8612
2830,1.81852,12.8245
2835,1.8131,12.7443
2840,1.82892,12.6616
2845,1.86245,12.598
2850,1.87216,12.578
2855,1.88246,12.5432
